elapse,timeToServe,timeOfInvoke
6053552246,339888191,119464083
6053672789,379065876,119967884
6064138575,299061339,120490026
6064315257,269463083,120563467
6064433865,209921098,120350781
6064546056,219776502,120543150
6174687224,200090139,120777127
6174884191,299629811,121175690
6184994184,29932878,120574810
6185064895,200679212,120791174
6193789881,331362,119387295
6463165785,186139,119463674
6533569156,741888,118469088
6533718941,891718,118472175
6543800717,1110231,118248401
6543985284,443655,119161421
6573082739,172963,119165846
6603964472,199246,119246376
6674364180,101208,120268695
6684502613,151869,120047529
6693661280,181032,120346464
6704503187,178376,120606607
6704651871,283514,120634230
6734406286,1545214,118588562
6734477306,1665156,118544931
6744289872,132030,119451361
6793953194,49833127,119321945
6803149156,21923521,118355016
6815190379,9439963,121278926
6873502297,187286,119787497
6893407693,155062,118926453
6943970337,131328,119868941
6963933739,129430,120241860
6973393296,121444,119239758
7014440438,131868,120782992
7014517222,217364,120854017
7024053767,391942,119256828
7033281383,1230446,117682612
7053702578,101004,118826131
7063403688,90908,119323575
7074678700,111233,120488437
7084259355,250490,120093157
7114940487,191963,121050856
7134377924,736154,119740473
7173959173,214968,120035105
7204130401,246169,119676679
7273945559,234842,119104967
7304126824,118199,120546402
7314867128,122024,120447119
7363304219,106942,119989084
7363361762,231694,119913734
7363390018,166318,120008182
7363448754,277196,119950969
7394010850,186335,119833463
7424403046,361497,120090496
7443591526,166734,120617057
7483742923,164769,120233222
7515243922,258840,120983140
7533870623,662013,119545272
7563760161,219613,119893589
7563871257,128490,120109282
7573344385,102263,118867534
7583872132,85103,120183859
7615243692,137895,121644462
7623483302,215256,118334298
7743154891,198165,118989248
7743205409,260966,118928593
7764122981,330781,120231386
7764210688,195658,120489097
7834101737,604433,120205740
7853915427,104191,120138649
7873898082,57185,119482035
7894849183,100293,120524135
7903872837,283774,119738682
7903963375,127268,120027857
7904041236,326205,119897754
7923877891,177492,119705193
7993623411,220215,119494927
7993925873,263175,119806791
8024551289,187682,120330712
8024683606,165089,120538718
8044841838,235815,120702844
8084071204,243132,119530744
8114312042,190669,120384941
8114445142,264545,120515360
8134035781,739212,118698901
8134263023,662526,118974578
8144662059,261504,119722701
8144758015,223358,119879657
8164532715,233888,119532404
8194229922,328717,119805493
8203859172,84235,119621704
8224205004,309903,119919773
8254025754,304048,119528247
8274073972,82120,120728573
8283895269,116129,119054782
8303850324,88250,120465620
8334070680,305142,120185437
8343848018,112545,119387693
8363732094,122945,119489679
8373702572,267344,119462116
8383049635,98817,118846827
8383153648,172153,118866183
8414316817,105945,120181151
8414476112,115528,120359682
8423229390,34177,119292597
8423400681,52975,119422254
8433446557,1512277,117441512
8433479799,1703054,117286753
8454117661,10368427,119805163
8463416224,20009913,119452923
8484134780,29771622,120282339
8493854367,20080823,120075060
8503377092,19415282,120226179
8503451456,19535721,120197386
8543616891,95492,120207916
8574021782,204085,119606041
8574162472,185756,119889708
8583223173,33865,119709171
8604412178,289706,119861418
8633922173,844317,117877824
8644251337,163015,119860696
8653767744,149117,119626709
8673920998,110481,119573995
8703914330,50798,120472523
8714232464,128979,119969712
8723241022,365666,118627342
8733857164,502167,119563334
8753607140,243056,119588583
8783940767,242895,120423377
8825269764,66950,121209126
8833552783,594381,119186915
